Record id,Receipt number,Healthcare number,Assigned date,Discharged date,Treatment note
899482,143428201,19965748,01/01/2014,12/31/2014,Availabe on file
608817,584506047,75881746,01/01/2014,12/31/2014,Availabe on file
479552,413807583,18094238,01/01/2014,12/31/2014,Availabe on file
234081,566626022,62005849,01/01/2014,12/31/2014,Availabe on file
960764,248050983,70428035,01/01/2014,12/31/2014,Availabe on file
187264,25056762,49149705,01/01/2014,12/31/2014,Availabe on file
421009,249593067,94316525,01/01/2014,12/31/2014,Availabe on file
350719,372260121,14148174,01/01/2014,12/31/2014,Availabe on file
345477,333273911,62679677,01/01/2014,12/31/2014,Availabe on file
707885,284824978,97308863,01/01/2014,12/31/2014,Availabe on file
416942,534010410,21717993,01/01/2014,12/31/2014,Availabe on file
574018,582518330,10196587,01/01/2014,12/31/2014,Availabe on file
931392,503446434,74249093,01/01/2014,12/31/2014,Availabe on file
228972,373112759,69901186,01/01/2014,12/31/2014,Availabe on file
720525,247759214,59623387,01/01/2014,12/31/2014,Availabe on file
676871,251728453,9783899,01/01/2014,12/31/2014,Availabe on file
22897,288190617,66591640,01/01/2014,12/31/2014,Availabe on file
806309,526245344,64703793,01/01/2014,12/31/2014,Availabe on file
778186,468075049,81411239,01/01/2014,12/31/2014,Availabe on file
393126,346091073,87462873,01/01/2014,12/31/2014,Availabe on file
107999,503357818,9990443,01/01/2014,12/31/2014,Availabe on file
85887,105708186,70142817,01/01/2014,12/31/2014,Availabe on file
507742,250334039,97657461,01/01/2014,12/31/2014,Availabe on file
504563,271453001,98105105,01/01/2014,12/31/2014,Availabe on file
191836,88070017,4744900,01/01/2014,12/31/2014,Availabe on file
828771,276137761,91874943,01/01/2014,12/31/2014,Availabe on file
775145,490649128,73944866,01/01/2014,12/31/2014,Availabe on file
922544,205843280,105972,01/01/2014,12/31/2014,Availabe on file
815536,512868306,29063644,01/01/2014,12/31/2014,Availabe on file
943210,465141718,54041882,01/01/2014,12/31/2014,Availabe on file
789317,336722853,70508996,01/01/2014,12/31/2014,Availabe on file
886469,61944081,19307002,01/01/2014,12/31/2014,Availabe on file
217593,331026745,61062697,01/01/2014,12/31/2014,Availabe on file
580797,435325133,97353836,01/01/2014,12/31/2014,Availabe on file
884362,193247725,42962360,01/01/2014,12/31/2014,Availabe on file
12953,387410465,81083115,01/01/2014,12/31/2014,Availabe on file
821284,366927967,86578038,01/01/2014,12/31/2014,Availabe on file
912820,138708788,82242307,01/01/2014,12/31/2014,Availabe on file
15587,271082274,84339751,01/01/2014,12/31/2014,Availabe on file
927955,263275210,65517670,01/01/2014,12/31/2014,Availabe on file
427782,438992754,48022866,01/01/2014,12/31/2014,Availabe on file
929602,355998519,23806624,01/01/2014,12/31/2014,Availabe on file
73644,226026217,38296941,01/01/2014,12/31/2014,Availabe on file
984400,475406797,43340145,01/01/2014,12/31/2014,Availabe on file
650635,138842384,42872418,01/01/2014,12/31/2014,Availabe on file
488521,47012077,79271533,01/01/2014,12/31/2014,Availabe on file
16691,519973282,9044638,01/01/2014,12/31/2014,Availabe on file
888875,254842325,32708515,01/01/2014,12/31/2014,Availabe on file
634893,328239369,80645936,01/01/2014,12/31/2014,Availabe on file
648948,343767263,11994343,01/01/2014,12/31/2014,Availabe on file
589747,486929157,15430998,01/01/2014,12/31/2014,Availabe on file
737867,50563142,33716776,01/01/2014,12/31/2014,Availabe on file
991928,489753197,41762211,01/01/2014,12/31/2014,Availabe on file
288828,433938254,15679450,01/01/2014,12/31/2014,Availabe on file
156611,431452241,74525384,01/01/2014,12/31/2014,Availabe on file
923917,424320035,72413832,01/01/2014,12/31/2014,Availabe on file
811922,562285563,72138265,01/01/2014,12/31/2014,Availabe on file
721399,279707830,28674840,01/01/2014,12/31/2014,Availabe on file
59689,472186281,32252715,01/01/2014,12/31/2014,Availabe on file
932523,151441933,61857769,01/01/2014,12/31/2014,Availabe on file
894245,224989000,66100672,01/01/2014,12/31/2014,Availabe on file
586473,480919737,32258171,01/01/2014,12/31/2014,Availabe on file
639765,523042941,80227096,01/01/2014,12/31/2014,Availabe on file
745914,550421444,59832337,01/01/2014,12/31/2014,Availabe on file
489153,520089803,97779515,01/01/2014,12/31/2014,Availabe on file
938479,394552986,50652478,01/01/2014,12/31/2014,Availabe on file
453630,36584043,97327435,01/01/2014,12/31/2014,Availabe on file
973361,454991448,94821684,01/01/2014,12/31/2014,Availabe on file
283634,324799834,90596350,01/01/2014,12/31/2014,Availabe on file
329325,288708869,13601388,01/01/2014,12/31/2014,Availabe on file
681613,401196288,83302172,01/01/2014,12/31/2014,Availabe on file
713144,409749134,91017522,01/01/2014,12/31/2014,Availabe on file
164635,126897950,21576544,01/01/2014,12/31/2014,Availabe on file
679015,288591746,70769799,01/01/2014,12/31/2014,Availabe on file
581271,526127386,17682456,01/01/2014,12/31/2014,Availabe on file
909996,406596483,4952802,01/01/2014,12/31/2014,Availabe on file
704284,434628356,97731453,01/01/2014,12/31/2014,Availabe on file
511288,391513989,72914543,01/01/2014,12/31/2014,Availabe on file
808557,352650905,86189672,01/01/2014,12/31/2014,Availabe on file
321528,576469265,80953228,01/01/2014,12/31/2014,Availabe on file
467237,497717830,76336305,01/01/2014,12/31/2014,Availabe on file
963832,122381321,77057411,01/01/2014,12/31/2014,Availabe on file
686969,91314830,35635507,01/01/2014,12/31/2014,Availabe on file
157571,105297157,61110676,01/01/2014,12/31/2014,Availabe on file
963061,286328997,825927,01/01/2014,12/31/2014,Availabe on file
431530,414839927,62097645,01/01/2014,12/31/2014,Availabe on file
6063,573331032,81814238,01/01/2014,12/31/2014,Availabe on file
947915,156412392,61330907,01/01/2014,12/31/2014,Availabe on file
120668,388673260,82392106,01/01/2014,12/31/2014,Availabe on file
866140,61658342,61729888,01/01/2014,12/31/2014,Availabe on file
882993,490622316,89944203,01/01/2014,12/31/2014,Availabe on file
498085,464825795,68459193,01/01/2014,12/31/2014,Availabe on file
350945,571016922,35544599,01/01/2014,12/31/2014,Availabe on file
380529,204177211,96629860,01/01/2014,12/31/2014,Availabe on file
319947,421404489,18218643,01/01/2014,12/31/2014,Availabe on file
815308,81777401,79560628,01/01/2014,12/31/2014,Availabe on file
448055,282483566,87151753,01/01/2014,12/31/2014,Availabe on file
367390,317196889,80969033,01/01/2014,12/31/2014,Availabe on file
857302,410593063,56594058,01/01/2014,12/31/2014,Availabe on file
934308,382119395,20201510,01/01/2014,12/31/2014,Availabe on file
234140,394661055,2261396,01/01/2014,12/31/2014,Availabe on file
911704,462305370,19093268,01/01/2014,12/31/2014,Availabe on file
507174,169971000,17908634,01/01/2014,12/31/2014,Availabe on file
57526,288587817,73474276,01/01/2014,12/31/2014,Availabe on file
7164,220746766,64751378,01/01/2014,12/31/2014,Availabe on file
466941,134675524,18701697,01/01/2014,12/31/2014,Availabe on file
149298,305699792,39725432,01/01/2014,12/31/2014,Availabe on file
361624,576614852,67945884,01/01/2014,12/31/2014,Availabe on file
671734,94440471,71088177,01/01/2014,12/31/2014,Availabe on file
82140,103065509,56381115,01/01/2014,12/31/2014,Availabe on file
561710,91750676,32082097,01/01/2014,12/31/2014,Availabe on file
100615,97008690,45364594,01/01/2014,12/31/2014,Availabe on file
790371,30646211,61861965,01/01/2014,12/31/2014,Availabe on file
932430,76038948,81829735,01/01/2014,12/31/2014,Availabe on file
929719,292393709,22290680,01/01/2014,12/31/2014,Availabe on file
184762,177502343,10237378,01/01/2014,12/31/2014,Availabe on file
68409,317317478,97935528,01/01/2014,12/31/2014,Availabe on file
668283,514695553,87972552,01/01/2014,12/31/2014,Availabe on file
923996,426548972,94988976,01/01/2014,12/31/2014,Availabe on file
595497,542248463,15098572,01/01/2014,12/31/2014,Availabe on file
926553,435052808,27095407,01/01/2014,12/31/2014,Availabe on file
941276,41421219,57916581,01/01/2014,12/31/2014,Availabe on file
32575,194076718,23686624,01/01/2014,12/31/2014,Availabe on file
891234,101399599,27391248,01/01/2014,12/31/2014,Availabe on file
756990,531264347,42215500,01/01/2014,12/31/2014,Availabe on file
766953,328610754,58550544,01/01/2014,12/31/2014,Availabe on file
822128,424188137,15343666,01/01/2014,12/31/2014,Availabe on file
433903,412474497,23688648,01/01/2014,12/31/2014,Availabe on file
869107,124025892,44915931,01/01/2014,12/31/2014,Availabe on file
238082,268456611,79332740,01/01/2014,12/31/2014,Availabe on file
109458,121662923,88563358,01/01/2014,12/31/2014,Availabe on file
756671,233590178,82109241,01/01/2014,12/31/2014,Availabe on file
839942,47141337,64897456,01/01/2014,12/31/2014,Availabe on file
127789,3922345,60401655,01/01/2014,12/31/2014,Availabe on file
586068,315449464,62599200,01/01/2014,12/31/2014,Availabe on file
120107,64999719,879199,01/01/2014,12/31/2014,Availabe on file
666442,411142581,16929939,01/01/2014,12/31/2014,Availabe on file
784927,121377009,8328686,01/01/2014,12/31/2014,Availabe on file
758065,172875538,82723027,01/01/2014,12/31/2014,Availabe on file
533962,23249565,80272474,01/01/2014,12/31/2014,Availabe on file
732529,562628572,15692310,01/01/2014,12/31/2014,Availabe on file
813105,172673221,60119962,01/01/2014,12/31/2014,Availabe on file
29708,82623640,71288516,01/01/2014,12/31/2014,Availabe on file
787742,456701419,97588705,01/01/2014,12/31/2014,Availabe on file
773950,428756232,29575656,01/01/2014,12/31/2014,Availabe on file
149882,453561321,54794531,01/01/2014,12/31/2014,Availabe on file
566854,344147182,27662340,01/01/2014,12/31/2014,Availabe on file
253569,511987938,13398179,01/01/2014,12/31/2014,Availabe on file
83042,233021029,70047399,01/01/2014,12/31/2014,Availabe on file
677394,156386445,47496240,01/01/2014,12/31/2014,Availabe on file
747878,54998080,6132045,01/01/2014,12/31/2014,Availabe on file
454908,360392860,95770481,01/01/2014,12/31/2014,Availabe on file
990402,168984983,20398367,01/01/2014,12/31/2014,Availabe on file
831705,119999093,38949605,01/01/2014,12/31/2014,Availabe on file
968638,453496899,72880388,01/01/2014,12/31/2014,Availabe on file
255213,148330442,69098172,01/01/2014,12/31/2014,Availabe on file
164626,528681249,51151585,01/01/2014,12/31/2014,Availabe on file
988262,17454892,25013536,01/01/2014,12/31/2014,Availabe on file
595682,81806669,19482140,01/01/2014,12/31/2014,Availabe on file
659234,587544023,90282126,01/01/2014,12/31/2014,Availabe on file
582152,285648202,48348662,01/01/2014,12/31/2014,Availabe on file
192581,141937276,16129129,01/01/2014,12/31/2014,Availabe on file
838694,498876685,50551890,01/01/2014,12/31/2014,Availabe on file
820976,548491787,67900032,01/01/2014,12/31/2014,Availabe on file
557665,130741649,93879361,01/01/2014,12/31/2014,Availabe on file
501776,61869271,3966311,01/01/2014,12/31/2014,Availabe on file
841756,227790014,92320139,01/01/2014,12/31/2014,Availabe on file
793339,99154513,14473857,01/01/2014,12/31/2014,Availabe on file
137882,421792599,61830470,01/01/2014,12/31/2014,Availabe on file
798439,377135413,51629175,01/01/2014,12/31/2014,Availabe on file
72909,416032139,39954683,01/01/2014,12/31/2014,Availabe on file
776550,509966489,39296402,01/01/2014,12/31/2014,Availabe on file
690550,502569599,27723470,01/01/2014,12/31/2014,Availabe on file
977440,383328044,56087374,01/01/2014,12/31/2014,Availabe on file
476569,187492885,44491154,01/01/2014,12/31/2014,Availabe on file
475609,547686475,58228376,01/01/2014,12/31/2014,Availabe on file
424636,106757587,49631284,01/01/2014,12/31/2014,Availabe on file
964164,18873986,92465343,01/01/2014,12/31/2014,Availabe on file
925965,588525207,85769708,01/01/2014,12/31/2014,Availabe on file
769903,9636086,57827092,01/01/2014,12/31/2014,Availabe on file
65125,118573893,78712675,01/01/2014,12/31/2014,Availabe on file
549263,493677011,30082099,01/01/2014,12/31/2014,Availabe on file
632383,551463495,87615237,01/01/2014,12/31/2014,Availabe on file
537323,562628739,73936106,01/01/2014,12/31/2014,Availabe on file
582844,145221615,28127301,01/01/2014,12/31/2014,Availabe on file
20063,185454881,54550180,01/01/2014,12/31/2014,Availabe on file
128730,352502546,82779933,01/01/2014,12/31/2014,Availabe on file
53352,342385144,99138477,01/01/2014,12/31/2014,Availabe on file
267985,441604034,36527258,01/01/2014,12/31/2014,Availabe on file
394884,482858951,21257033,01/01/2014,12/31/2014,Availabe on file
426944,563761906,87062426,01/01/2014,12/31/2014,Availabe on file
662308,5869410,78304077,01/01/2014,12/31/2014,Availabe on file
684087,341071214,20696036,01/01/2014,12/31/2014,Availabe on file
299147,352110253,35578873,01/01/2014,12/31/2014,Availabe on file
425808,147741874,31190240,01/01/2014,12/31/2014,Availabe on file
374036,536753989,51590925,01/01/2014,12/31/2014,Availabe on file
249517,175219345,50014642,01/01/2014,12/31/2014,Availabe on file
983414,544191750,72586125,01/01/2014,12/31/2014,Availabe on file
16047,107852121,90310364,01/01/2014,12/31/2014,Availabe on file
738215,255920029,61115298,01/01/2014,12/31/2014,Availabe on file
664067,403899422,91896409,01/01/2014,12/31/2014,Availabe on file
944008,355742507,50726427,01/01/2014,12/31/2014,Availabe on file
160093,162085816,73436187,01/01/2014,12/31/2014,Availabe on file
574374,205684247,76892442,01/01/2014,12/31/2014,Availabe on file
